FIGHTER,SIG_STR_ratio,SIG_STR_pct,TOTAL_STR_ratio,TD_ratio,TD_pct,SUB.ATT,REV.,CTRL_seconds,HEAD_ratio,BODY_ratio,LEG_ratio,DISTANCE_ratio,CLINCH_ratio,GROUND_ratio
AJ Cunningham,0.48,0.48,0.4675324675324675,0.0,0.0,0.0,0.0,26,0.30612244897959184,0.7142857142857143,0.9166666666666666,0.4722222222222222,0.6666666666666666,0.0
AJ Dobson,0.44606403542464923,0.44000000000000006,0.49639108044007624,0.4,0.4,0.0,1.0,424,0.31737215515840367,0.7283333333333333,0.7320897832817337,0.42403984669915895,0.3904761904761905,0.175
AJ Fletcher,0.49954569698899814,0.49400000000000005,0.6155437758768993,0.21666666666666665,0.21600000000000003,3.0,3.0,612,0.4073972804853125,0.37583333333333335,0.73,0.43372978408301527,0.2957142857142857,0.1688888888888889
Aalon Cruz,0.08333333333333333,0.08,0.08333333333333333,0.0,0.0,0.0,0.0,16,0.25,0.0,0.0,0.08333333333333333,0.0,0.0
Aaron Brink,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Phillips,0.5335029028210847,0.5290909090909092,0.7169975312666635,0.1212121212121212,0.12090909090909091,2.0,1.0,434,0.3638138177611862,0.8230027548209367,0.2424242424242424,0.4394667453758363,0.5688311688311688,0.18398268398268397
Aaron Riley,0.34993128494315645,0.346,0.4607837973817541,0.2,0.2,1.0,0.0,1117,0.19350056654105505,0.6812146187146186,0.6806926406926407,0.26661008320823115,0.5291573295985061,0.25303030303030305
Aaron Rosa,0.41204315250189427,0.40714285714285714,0.6389799201061044,0.0,0.0,0.0,0.0,60,0.3207893569327044,0.5654761904761905,0.6785714285714286,0.2929470279094339,0.5557689742563692,0.0
Aaron Simpson,0.528903675755434,0.525,0.5954278442676848,0.3437216553287982,0.34249999999999997,4.0,0.0,3208,0.410304159198838,0.7181326609898039,0.7102465986394558,0.3402892679815266,0.6664419555701068,0.459237079345775
Aaron Wilkinson,0.0,0.0,0.0,1.0,1.0,0.0,1.0,64,0.0,0.0,0.0,0.0,0.0,0.0
Abdul Razak Alhassan,0.5444867191946186,0.54,0.5720038790749034,0.06884057971014493,0.06869565217391305,1.0,1.0,679,0.4470291154840707,0.5108695652173914,0.427536231884058,0.46564377327960316,0.5013563730955035,0.1774247491638796
Abdul-Kareem Al-Selwady,0.5242165242165242,0.52,0.55002405002405,0.4666666666666666,0.4666666666666666,0.0,0.0,164,0.40395021645021645,0.48888888888888893,0.7314814814814815,0.4896953405017921,0.5555555555555555,0.0
Abdul-Kerim Edilov,0.6144018583042974,0.605,0.7095959595959596,1.0,1.0,1.0,0.0,331,0.5603864734299517,0.9583333333333333,0.3333333333333333,0.4,0.25,0.6881720430107527
Abel Trujillo,0.3931476079030601,0.38958333333333334,0.4863735210206985,0.3993055555555556,0.39916666666666667,3.0,0.0,1134,0.3296836023815823,0.6168470418470419,0.25,0.27698669581192575,0.35486111111111107,0.40882936507936507
Abner Lloveras,0.4923102052938338,0.48666666666666664,0.508888888888889,0.13333333333333333,0.13333333333333333,0.0,0.0,171,0.37839100064977255,0.8301587301587302,1.0,0.45909398242055444,0.6603174603174603,0.0
Abu Azaitar,0.45254360103498037,0.4483333333333333,0.5711108139284137,0.16666666666666666,0.16666666666666666,0.0,1.0,321,0.3440678124892768,0.7716588966588965,0.638888888888889,0.3552842782273416,0.35813492063492064,0.2724867724867725
Abubakar Nurmagomedov,0.5113050618971672,0.507,0.6505423180862081,0.275,0.275,0.0,0.0,1219,0.41071663864480107,0.8416666666666666,0.9,0.48008838383838387,0.4,0.05
Abus Magomedov,0.499817817576238,0.49666666666666665,0.5197073562377065,0.35185185185185186,0.35111111111111115,0.0,0.0,741,0.4197099741217388,0.5772343125284302,0.4666666666666667,0.43570847013355724,0.2222222222222222,0.37407407407407406
Adam Cella,0.16666666666666666,0.16,0.2857142857142857,0.0,0.0,0.0,0.0,0,0.125,0.0,0.5,0.16666666666666666,0.0,0.0
Adam Fugitt,0.46729281469217,0.46222222222222226,0.48667349425398787,0.09126984126984126,0.0911111111111111,0.0,0.0,291,0.31161397201740404,0.6189957464467268,0.5453703703703704,0.45551507252620055,0.3888888888888889,0.09523809523809523
Adam Milstead,0.47395552560646903,0.47000000000000003,0.5825812616713352,0.0,0.0,0.0,0.0,20,0.4320937028657617,0.625,0.625,0.4467220979300811,0.4563873626373626,0.375
Adam Wieczorek,0.35576339861963596,0.35125,0.4947221342042314,0.125,0.125,1.0,0.0,266,0.16897233201581027,0.6145833333333333,0.75,0.30279969905921156,0.5,0.2625
Adam Yandiev,0.045454545454545456,0.045,0.045454545454545456,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.05555555555555555,0.0,0.0
Adlan Amagov,0.4258675978752705,0.4225,0.5289313672112697,0.525,0.525,0.0,0.0,274,0.367831541218638,0.5416666666666666,0.6185661764705882,0.32958365164247516,0.34523809523809523,0.5277777777777778
Adrian Serrano,0.26515151515151514,0.26,0.6901960784313725,0.0,0.0,0.0,1.0,187,0.14285714285714285,0.5833333333333333,0.0,0.1875,0.3666666666666667,0.0
Adrian Yanez,0.42637561457769546,0.4228571428571429,0.4257038233675788,0.0,0.0,0.0,0.0,43,0.36941723395574516,0.6327876488590773,0.6080189651618223,0.4120045243010527,0.17857142857142858,0.16071428571428573
Adriano Martins,0.46848673051518525,0.46499999999999997,0.48926005029105174,0.21428571428571427,0.21428571428571427,2.0,0.0,375,0.31952511773940345,0.275,0.7055555555555556,0.4013213968571111,0.0,0.18571428571428572
Adriano Santos,0.3055555555555556,0.3,0.44680851063829785,0.6666666666666666,0.66,0.0,1.0,0,0.26666666666666666,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.5833333333333334
Aiemann Zahabi,0.45813649599877226,0.4541176470588235,0.4620231935832877,0.029411764705882353,0.029411764705882353,0.0,1.0,176,0.3747375772378191,0.5600415923945335,0.434106262825986,0.4503218636640043,0.22794117647058823,0.18627450980392157
Ailin Perez,0.5758072191546965,0.5727272727272728,0.6873151344824006,0.4761904761904762,0.4754545454545455,0.0,2.0,1563,0.5073764698534199,0.6652892561983471,0.5,0.4121976508340145,0.6650349650349651,0.639607055736088
Aisling Daly,0.5071904544730632,0.5028571428571428,0.673579094467784,0.35714285714285715,0.35714285714285715,2.0,0.0,1266,0.43737256306278116,0.735374149659864,0.3333333333333333,0.24628427128427127,0.7267316017316017,0.45511841100076394
Akbarh Arreola,0.5484209541057087,0.5455555555555556,0.5740267096992243,0.3333333333333333,0.3333333333333333,1.0,0.0,174,0.43406778406778407,0.5166666666666667,0.7703703703703704,0.5345405503422639,0.2962962962962963,0.6290123456790124
Akihiro Gono,0.4959141911728119,0.49125,0.5883086570650272,0.3125,0.3125,1.0,1.0,343,0.27056878306878307,0.658234126984127,0.5068181818181818,0.4336555305305305,0.59375,0.3875
Akira Corassani,0.48118238689744947,0.4772727272727273,0.5012866566745877,0.045454545454545456,0.045454545454545456,0.0,0.0,296,0.37785139531245093,0.7166666666666667,0.518939393939394,0.46231639129503094,0.5393939393939394,0.0
Al Iaquinta,0.4173897469024846,0.4130952380952381,0.4259820327639978,0.11904761904761904,0.11880952380952381,3.0,0.0,687,0.33999095263842444,0.6398791023791024,0.7044595616024187,0.4099272883386243,0.1527777777777778,0.1976911976911977
Alan Baudot,0.5376414948907682,0.5337500000000001,0.5694163771003012,0.0,0.0,0.0,0.0,165,0.4594043707095178,0.8005952380952381,0.75,0.4803875015568564,0.7125,0.19957983193277312
Alan Belcher,0.3885344826515265,0.3854838709677419,0.4729335713888394,0.08709677419354839,0.08709677419354839,8.0,2.0,1577,0.2552515831391153,0.4665689149560117,0.6202346041055719,0.32161225398934384,0.33087557603686635,0.1998102466793169
Alan Jouban,0.49556175489163967,0.4918518518518518,0.5165397397996061,0.12345679012345678,0.12333333333333334,2.0,1.0,480,0.3910000596714114,0.6563293188293188,0.8448399337288227,0.4750856751605581,0.4693219873044434,0.2549088771310994
Alan Omer,0.610964116398899,0.6066666666666666,0.6738138876825955,0.2222222222222222,0.22166666666666668,0.0,0.0,388,0.5408379957455488,0.7041666666666666,0.8958333333333334,0.49694311536416796,0.7647792022792023,0.4375
Alan Patrick,0.4713171421171421,0.46759999999999996,0.5580087194509169,0.31733333333333336,0.31679999999999997,2.0,0.0,2525,0.4011029787779014,0.4661673881673882,0.48533333333333334,0.4023080181080181,0.3735238095238095,0.3378333333333333
Alatengheili,0.34615074554610353,0.3418181818181818,0.399301213839356,0.21645021645021645,0.2159090909090909,0.0,0.0,1008,0.2934877446498978,0.5416666666666666,0.5172979797979799,0.3389285427403688,0.022727272727272728,0.14772727272727273
Albert Cheng,0.4166666666666667,0.41,0.4166666666666667,0.0,0.0,0.0,0.0,6,0.4,0.5,0.0,0.4166666666666667,0.0,0.0
Albert Duraev,0.38285720960348213,0.378,0.42301497763903917,0.20357142857142857,0.203,1.0,0.0,757,0.28575662722792705,0.5047619047619047,0.5784848484848485,0.3229356799836766,0.1,0.1125
Albert Morales,0.3396223339557411,0.334375,0.3912640089379884,0.11458333333333333,0.114375,0.0,1.0,732,0.2520185606268071,0.49763257575757575,0.6439484126984127,0.31109841922795917,0.19517045454545454,0.3125
Albert Tumenov,0.443938835313909,0.44,0.4579727875601608,0.058823529411764705,0.058823529411764705,0.0,1.0,164,0.39728675197923874,0.4774509803921569,0.5294117647058824,0.3798894018419425,0.3984593837535014,0.052941176470588235
Alberta Cerra Leon,0.3333333333333333,0.33,0.8181818181818182,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0
Alberto Crane,0.3563636363636363,0.356,0.6329749103942652,0.0,0.0,5.0,2.0,270,0.03,0.5,0.13333333333333333,0.3563636363636363,0.0,0.0
Alberto Mina,0.374087298189622,0.37,0.4157616345487171,0.24074074074074073,0.24000000000000002,0.0,1.0,254,0.29124486136726613,0.4703703703703704,0.7336182336182335,0.32793569342768425,0.23703703703703705,0.30808080808080807
Alberto Uda,0.4259259259259259,0.42,0.6171236171236171,0.3333333333333333,0.3333333333333333,0.0,1.0,295,0.375,0.7777777777777778,0.0,0.2333333333333333,0.28205128205128205,0.4166666666666667
Alejandro Perez,0.335560607709635,0.3313333333333333,0.3821393292172914,0.10277777777777777,0.10266666666666667,3.0,0.0,530,0.2358208959748061,0.5919047619047618,0.6772365107659225,0.31161136690815194,0.3548148148148148,0.1798941798941799
Aleksa Camur,0.5677412286541312,0.5641666666666666,0.6629111281133188,0.125,0.125,0.0,0.0,387,0.4480164889510718,0.8113858363858363,0.7020757020757021,0.49363427870205495,0.8655695611577965,0.08333333333333333
Aleksandar Rakic,0.5143942269703874,0.5104545454545455,0.5813843814434072,0.10984848484848485,0.10954545454545456,1.0,0.0,2137,0.3982899230082977,0.6968434343434343,0.6947227070250785,0.4431277328829907,0.44527417027417027,0.2799500688705234
Aleksandra Albu,0.4861963071127949,0.4822222222222222,0.512557865959683,0.37777777777777777,0.37777777777777777,1.0,0.0,382,0.43428948712009663,0.6679012345679012,0.48148148148148145,0.3938430101917932,0.7421837421837422,0.33641975308641975
Aleksei Kunchenko,0.44668965506735087,0.44333333333333336,0.565366342136965,0.041666666666666664,0.041666666666666664,0.0,0.0,130,0.33848648819308225,0.5678391053391053,0.7876322751322751,0.40677351617347896,0.6257575757575757,0.3125
Aleksei Oleinik,0.42291078997878473,0.4193103448275862,0.5623289305425223,0.25114942528735634,0.2510344827586207,15.0,4.0,2110,0.3143085678845818,0.678448275862069,0.5922003284072249,0.3689406744193785,0.3165229885057471,0.25187465790914065
Alen Amedovski,0.2789141414141414,0.27499999999999997,0.2789141414141414,0.0,0.0,0.0,1.0,13,0.2558669400774664,0.08333333333333333,0.11904761904761905,0.24716810966810965,0.0,0.09999999999999999
Alessandro Costa,0.4944490012911065,0.48999999999999994,0.5511922008564059,0.03333333333333333,0.033,0.0,0.0,167,0.4085921777990089,0.48666666666666664,0.7007352941176471,0.45249399922570654,0.3119047619047619,0.20099715099715101
Alessio Di Chirico,0.4019886327403219,0.39807692307692305,0.42955094464558236,0.28525641025641024,0.28500000000000003,0.0,0.0,707,0.31713456739348,0.5039999530384146,0.6186813186813187,0.3800569484976067,0.356486568986569,0.12842059900883432
Alessio Sakara,0.438711253620631,0.4354545454545455,0.4968931734603782,0.20454545454545456,0.20454545454545456,0.0,2.0,1233,0.38557623396777657,0.5393398268398268,0.2159090909090909,0.3667490152450046,0.3638892686261107,0.3616109701636017
Alex Andrade,0.41666666666666663,0.41000000000000003,0.5075757575757576,0.0,0.0,0.0,0.0,92,0.356060606060606,0.5,0.5,0.41666666666666663,0.3333333333333333,0.0
Alex Caceres,0.5189576591584053,0.5145945945945946,0.5584749129179113,0.14864864864864866,0.14864864864864866,16.0,12.0,2653,0.41189891101259596,0.705457113661448,0.6938170313170313,0.4785119553021457,0.5223241098241098,0.27838900633018276
Alex Chambers,0.592354544146557,0.5881818181818181,0.6429969536528293,0.28787878787878785,0.2872727272727273,3.0,0.0,623,0.5508273208273209,0.6115702479338843,0.5431235431235432,0.5714901863617279,0.43246753246753245,0.22727272727272727
Alex Da Silva,0.469530915309692,0.46545454545454545,0.5882264161499389,0.3484848484848485,0.3481818181818182,1.0,1.0,1662,0.357901047259336,0.5409090909090909,0.6,0.3563120325384915,0.37878787878787873,0.6006493506493507
