EVENT,BOUT,FIGHTER,KD,SIG.STR.,SIG.STR. %,TOTAL STR.,TD,TD %,SUB.ATT,REV.,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND,Win,win_loss_ratio
Ortiz vs Shamrock 3: The Final Chapter,Jason MacDonald vs. Ed Herman,Ed Herman,0.0,2.0,1.0,5.0,1.0,0.5,0.0,1.0,0,0.0,0.0,2.0,2.0,0.0,0.0,0,0.627906976744186
Ortiz vs Shamrock 3: The Final Chapter,Jason MacDonald vs. Ed Herman,Jason MacDonald,0.0,5.0,0.71,14.0,0.0,0.0,2.0,1.0,0,4.0,0.0,1.0,2.0,0.0,3.0,1,0.6097560975609756
Ortiz vs Shamrock 3: The Final Chapter,Kendall Grove vs. Chris Price,Chris Price,0.0,5.0,0.5,7.0,0.0,0.0,0.0,1.0,0,2.0,3.0,0.0,2.0,3.0,0.0,0,0.8260869565217391
Ortiz vs Shamrock 3: The Final Chapter,Kendall Grove vs. Chris Price,Kendall Grove,0.0,13.0,0.5,22.0,1.0,1.0,1.0,1.0,0,12.0,1.0,0.0,1.0,1.0,11.0,1,0.575
Ortiz vs Shamrock 3: The Final Chapter,Marcus Davis vs. Forrest Petz,Forrest Petz,0.0,5.0,0.27,19.0,0.0,0.0,0.0,0.0,0,2.0,2.0,1.0,1.0,4.0,0.0,0,0.7222222222222222
Ortiz vs Shamrock 3: The Final Chapter,Marcus Davis vs. Forrest Petz,Marcus Davis,0.0,33.0,0.66,66.0,0.0,0.0,1.0,0.0,0,17.0,8.0,8.0,5.0,20.0,8.0,1,0.6666666666666666
Ortiz vs Shamrock 3: The Final Chapter,Matt Hamill vs. Seth Petruzelli,Matt Hamill,0.0,14.0,0.96,105.0,7.0,2.1,0.0,0.0,0,11.0,0.0,3.0,8.0,3.0,3.0,3,0.6
Ortiz vs Shamrock 3: The Final Chapter,Matt Hamill vs. Seth Petruzelli,Seth Petruzelli,1.0,25.0,1.3,54.0,0.0,0.0,1.0,0.0,0,11.0,8.0,6.0,21.0,3.0,1.0,0,0.6363636363636364
Ortiz vs Shamrock 3: The Final Chapter,Nate Marquardt vs. Crafton Wallace,Crafton Wallace,0.0,4.0,0.26,27.0,0.0,0.0,0.0,0.0,0,3.0,0.0,1.0,4.0,0.0,0.0,0,0.75
Ortiz vs Shamrock 3: The Final Chapter,Nate Marquardt vs. Crafton Wallace,Nate Marquardt,0.0,13.0,1.08,31.0,2.0,1.5,2.0,1.0,0,7.0,2.0,4.0,7.0,0.0,6.0,2,0.6481481481481481
Ortiz vs Shamrock 3: The Final Chapter,Rory Singer vs. Josh Haynes,Josh Haynes,1.0,23.0,0.61,32.0,1.0,0.5,0.0,0.0,0,15.0,4.0,4.0,12.0,2.0,9.0,0,0.56
Ortiz vs Shamrock 3: The Final Chapter,Rory Singer vs. Josh Haynes,Rory Singer,0.0,50.0,1.15,57.0,0.0,0.0,0.0,0.0,0,44.0,5.0,1.0,38.0,12.0,0.0,3,0.55
Ortiz vs Shamrock 3: The Final Chapter,Thiago Alves vs. John Alessio,John Alessio,0.0,13.0,0.45000000000000007,18.0,2.0,0.75,0.0,0.0,0,12.0,0.0,1.0,10.0,2.0,1.0,0,0.6730769230769231
Ortiz vs Shamrock 3: The Final Chapter,Thiago Alves vs. John Alessio,Thiago Alves,0.0,63.0,1.32,84.0,0.0,0.0,0.0,0.0,0,27.0,11.0,25.0,41.0,15.0,7.0,3,0.6052631578947368
Ortiz vs Shamrock 3: The Final Chapter,Tito Ortiz vs. Ken Shamrock,Ken Shamrock,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6222222222222222
Ortiz vs Shamrock 3: The Final Chapter,Tito Ortiz vs. Ken Shamrock,Tito Ortiz,0.0,18.0,0.62,38.0,1.0,1.0,0.0,0.0,0,15.0,1.0,2.0,0.0,3.0,15.0,1,0.6129032258064516
Ortiz vs Shamrock 3: The Final Chapter,Tony DeSouza vs. Dustin Hazelett,Dustin Hazelett,0.0,1.0,0.25,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.631578947368421
Ortiz vs Shamrock 3: The Final Chapter,Tony DeSouza vs. Dustin Hazelett,Tony DeSouza,0.0,5.0,1.0,12.0,1.0,1.0,1.0,0.0,0,5.0,0.0,0.0,0.0,0.0,5.0,1,0.7333333333333333
The Ultimate Fighter: A Champion Will Be Crowned Finale,Aisling Daly vs. Alex Chambers,Aisling Daly,0.0,16.0,0.61,52.0,1.0,0.5,1.0,0.0,0,13.0,3.0,0.0,5.0,2.0,9.0,1,0.7272727272727273
The Ultimate Fighter: A Champion Will Be Crowned Finale,Aisling Daly vs. Alex Chambers,Alex Chambers,0.0,12.0,0.8,12.0,1.0,1.0,0.0,0.0,0,5.0,2.0,5.0,6.0,5.0,1.0,0,0.5
The Ultimate Fighter: A Champion Will Be Crowned Finale,Bec Rawlings vs. Heather Clark,Bec Rawlings,0.0,69.0,1.75,90.0,0.0,0.0,0.0,0.0,0,45.0,6.0,18.0,43.0,25.0,1.0,3,0.4666666666666667
The Ultimate Fighter: A Champion Will Be Crowned Finale,Bec Rawlings vs. Heather Clark,Heather Clark,0.0,56.0,1.77,85.0,1.0,0.33,1.0,0.0,0,33.0,15.0,8.0,29.0,21.0,6.0,0,0.5384615384615384
The Ultimate Fighter: A Champion Will Be Crowned Finale,Carla Esparza vs. Rose Namajunas,Carla Esparza,0.0,42.0,1.76,107.0,5.0,2.25,1.0,0.0,0,36.0,6.0,0.0,11.0,11.0,20.0,3,0.7407407407407407
The Ultimate Fighter: A Champion Will Be Crowned Finale,Carla Esparza vs. Rose Namajunas,Rose Namajunas,0.0,28.0,1.27,29.0,1.0,0.5,0.0,0.0,0,16.0,8.0,4.0,22.0,4.0,2.0,0,0.6666666666666666
